index|gain|cover
departamento_hecho_Antioquia|129.14010907261545|89.27333039923076
victimas_total|23.137590468666662|237.20841021416666
victimas_identificadas|13.743226723500005|258.16434851149995
responsables_identificados|10.726608262500001|491.03347
hechos_continuan|10.6509532925|462.00685875
departamento_hecho_Amazonas|5.170036315|7.742265225
departamento_hecho_Santander|3.882808586416667|220.96198322500004
departamento_hecho_Tolima|3.2419042513750003|168.38673734999998
departamento_hecho_NariÃ±o|3.1196512443076916|189.27093655384613
departamento_hecho_Cundinamarca|3.028165271166667|173.39124930000003
departamento_hecho_Cauca|2.973665614444444|150.53125388888887
departamento_hecho_BoyacÃ¡|2.7510113866249997|132.1595155
departamento_hecho_Sin Especificar|2.4275893389090912|183.3075131181818
departamento_hecho_Norte De Santander|2.3639412526666668|118.72779223333332
departamento_hecho_ChocÃ³|2.1268768035|135.05493145
departamento_hecho_Huila|2.125280212666667|116.11681871666667
departamento_hecho_Valle Del Cauca|2.0825950425|111.7913566625
departamento_hecho_Meta|1.6060428213333333|109.51870586666666
departamento_hecho_BolÃ­var|1.0139731690000002|65.23923873999999
departamento_hecho_Magdalena|0.818232298|51.1896439
departamento_hecho_Caldas|0.6704361435|53.483429
