Tipo|columna|variable|C_0|C_1|C_2|C_3|C_4|C_5|C_6
139|pais_hecho|Colombia|40.94|24.75|13.7|12.26|7.3|0.59|0.47
139|anio_fin|2018|75.29|0.0|24.14|0.0|0.0|0.57|0.0
139|anio_fin|2015|76.56|0.0|23.44|0.0|0.0|0.0|0.0
139|anio_fin|2008|76.98|0.0|20.63|0.0|0.0|0.79|1.59
139|anio_fin|2004|76.25|0.0|23.75|0.0|0.0|0.0|0.0
139|anio_fin|2011|77.78|0.0|21.37|0.0|0.0|0.85|0.0
139|anio_fin|2016|79.58|0.0|19.01|0.0|0.0|0.0|1.41
139|anio_fin|1957|0.0|0.0|0.0|85.0|15.0|0.0|0.0
139|anio_fin|1985|0.0|84.0|0.0|0.0|14.0|0.0|2.0
139|anio_fin|1994|0.0|80.0|0.0|0.0|20.0|0.0|0.0
139|anio_fin|1965|0.0|0.0|0.0|89.47|10.53|0.0|0.0
139|anio_fin|1950|0.0|0.0|0.0|91.67|8.33|0.0|0.0
139|anio_fin|2020|79.78|0.0|18.35|0.0|0.0|1.12|0.75
139|anio_fin|1995|0.0|67.16|0.0|0.0|31.34|0.0|1.49
139|anio_fin|1993|0.0|82.26|0.0|0.0|16.13|1.61|0.0
139|anio_fin|2017|77.02|0.0|22.36|0.0|0.0|0.0|0.62
139|anio_fin|2009|73.63|0.0|25.27|0.0|0.0|1.1|0.0
139|anio_fin|1991|0.0|80.77|0.0|0.0|15.38|3.85|0.0
139|anio_fin|1998|0.0|80.25|18.52|0.0|0.0|0.0|1.23
139|anio_fin|1977|0.0|0.0|0.0|85.0|12.5|0.0|2.5
139|anio_fin|1996|0.0|80.0|20.0|0.0|0.0|0.0|0.0
139|anio_fin|2000|0.0|75.0|22.37|0.0|0.0|0.0|2.63
139|anio_fin|1992|0.0|61.7|0.0|0.0|34.04|0.0|4.26
139|anio_fin|2006|74.42|0.0|23.26|0.0|0.0|1.16|1.16
139|anio_fin|2013|81.51|0.0|17.12|0.0|0.0|0.68|0.68
139|anio_fin|1980|0.0|89.74|0.0|0.0|10.26|0.0|0.0
139|anio_fin|1972|0.0|0.0|0.0|66.67|33.33|0.0|0.0
139|anio_fin|2003|0.0|73.81|23.81|0.0|0.0|2.38|0.0
139|anio_fin|2019|76.26|0.0|22.73|0.0|0.0|1.01|0.0
139|anio_fin|1955|0.0|0.0|0.0|90.91|9.09|0.0|0.0
139|anio_fin|1982|0.0|84.09|0.0|0.0|15.91|0.0|0.0
139|anio_fin|1989|0.0|77.78|0.0|0.0|20.0|2.22|0.0
139|anio_fin|1942|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|2002|0.0|82.19|17.81|0.0|0.0|0.0|0.0
139|anio_fin|1971|0.0|0.0|0.0|72.22|27.78|0.0|0.0
139|anio_fin|1963|0.0|0.0|0.0|85.0|15.0|0.0|0.0
139|anio_fin|1987|0.0|76.19|0.0|0.0|23.81|0.0|0.0
139|anio_fin|1959|0.0|0.0|0.0|68.75|25.0|0.0|6.25
139|anio_fin|2010|81.9|0.0|15.24|0.0|0.0|1.9|0.95
139|anio_fin|2012|85.44|0.0|14.56|0.0|0.0|0.0|0.0
139|anio_fin|1997|0.0|87.88|12.12|0.0|0.0|0.0|0.0
139|anio_fin|2007|73.12|0.0|26.88|0.0|0.0|0.0|0.0
139|anio_fin|2001|0.0|85.9|12.82|0.0|0.0|1.28|0.0
139|anio_fin|2014|77.6|0.0|21.6|0.0|0.0|0.0|0.8
139|anio_fin|2005|72.53|0.0|25.27|0.0|0.0|2.2|0.0
139|anio_fin|1952|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|1984|0.0|75.0|0.0|0.0|25.0|0.0|0.0
139|anio_fin|1986|0.0|72.97|0.0|0.0|27.03|0.0|0.0
139|anio_fin|1946|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|1968|0.0|0.0|0.0|91.3|8.7|0.0|0.0
139|anio_fin|1983|0.0|71.43|0.0|0.0|28.57|0.0|0.0
139|anio_fin|1999|0.0|82.5|17.5|0.0|0.0|0.0|0.0
139|anio_fin|1973|0.0|0.0|0.0|55.17|44.83|0.0|0.0
139|anio_fin|1981|0.0|69.23|0.0|0.0|30.77|0.0|0.0
139|anio_fin|1951|0.0|0.0|0.0|75.0|25.0|0.0|0.0
139|anio_fin|1970|0.0|0.0|0.0|73.91|26.09|0.0|0.0
139|anio_fin|1967|0.0|0.0|0.0|72.0|28.0|0.0|0.0
139|anio_fin|1961|0.0|0.0|0.0|78.57|21.43|0.0|0.0
139|anio_fin|1962|0.0|0.0|0.0|84.0|16.0|0.0|0.0
139|anio_fin|1944|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|1975|0.0|0.0|0.0|72.41|24.14|3.45|0.0
139|anio_fin|1988|0.0|63.83|0.0|0.0|34.04|2.13|0.0
139|anio_fin|1990|0.0|76.92|0.0|0.0|21.15|1.92|0.0
139|anio_fin|1943|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|1958|0.0|0.0|0.0|69.23|30.77|0.0|0.0
139|anio_fin|1979|0.0|0.0|0.0|84.38|15.62|0.0|0.0
139|anio_fin|1969|0.0|0.0|0.0|76.47|23.53|0.0|0.0
139|anio_fin|1974|0.0|0.0|0.0|68.57|31.43|0.0|0.0
139|anio_fin|1978|0.0|0.0|0.0|78.12|21.88|0.0|0.0
139|anio_fin|1966|0.0|0.0|0.0|84.21|15.79|0.0|0.0
139|anio_fin|1960|0.0|0.0|0.0|77.78|22.22|0.0|0.0
139|anio_fin|1976|0.0|0.0|0.0|73.91|26.09|0.0|0.0
139|anio_fin|1948|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|1964|0.0|0.0|0.0|83.33|16.67|0.0|0.0
139|anio_fin|1953|0.0|0.0|0.0|55.56|44.44|0.0|0.0
139|anio_fin|1956|0.0|0.0|0.0|87.5|12.5|0.0|0.0
139|anio_fin|1945|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|1947|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|1954|0.0|0.0|0.0|90.91|9.09|0.0|0.0
139|anio_fin|1949|0.0|0.0|0.0|0.0|100.0|0.0|0.0
139|anio_fin|1941|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|anio_fin|1940|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|victimas_identificadas|0_a_1|52.03|31.48|0.0|15.42|0.0|0.61|0.46
139|victimas_identificadas|1_a_2|41.54|23.08|15.38|13.85|6.15|0.0|0.0
139|victimas_identificadas|5_a_6|0.0|0.0|0.0|0.0|0.0|100.0|0.0
139|victimas_identificadas|3_a_4|0.0|0.0|53.33|0.0|30.0|0.0|16.67
139|victimas_identificadas|2_a_3|0.0|0.0|64.71|0.59|34.71|0.0|0.0
139|victimas_identificadas|4_a_5|0.0|0.0|80.0|0.0|20.0|0.0|0.0
139|victimas_identificadas|-9999_a_0|60.0|40.0|0.0|0.0|0.0|0.0|0.0
139|amenaza_familiar|0|41.14|24.86|13.76|12.31|7.33|0.59|0.0
139|amenaza_familiar|1|0.0|0.0|0.0|0.0|0.0|0.0|100.0
139|amenaza_hostigamiento|0|41.29|24.95|13.81|12.36|7.36|0.0|0.24
139|amenaza_hostigamiento|1|0.0|0.0|0.0|0.0|0.0|71.43|28.57
139|v_vs_cambios_forzados_ind_col|Sin Especificar|40.94|24.75|13.7|12.26|7.3|0.59|0.47
139|cluster|-9999_a_0|100.0|0.0|0.0|0.0|0.0|0.0|0.0
139|cluster|2_a_3|0.0|0.0|0.0|100.0|0.0|0.0|0.0
139|cluster|0_a_1|0.0|100.0|0.0|0.0|0.0|0.0|0.0
139|cluster|4_a_5|0.0|0.0|0.0|0.0|0.0|100.0|0.0
139|cluster|5_a_6|0.0|0.0|0.0|0.0|0.0|0.0|100.0
139|cluster|1_a_2|0.0|0.0|100.0|0.0|0.0|0.0|0.0
139|cluster|3_a_4|0.0|0.0|0.0|0.0|100.0|0.0|0.0
