index|gain|cover
departamento_hecho_Antioquia|125.10497546227273|87.94517768227274
victimas_total|24.88005481272727|274.63446990818187
hechos_continuan|15.545059218|426.61892100000006
victimas_identificadas|12.138710683500001|222.11882805416676
responsables_identificados|11.100262464|462.57832020000006
departamento_hecho_Amazonas|5.120303155|7.533340935
departamento_hecho_Santander|3.5103555583076917|198.30128851538456
departamento_hecho_Meta|3.360572695|187.07719400000002
departamento_hecho_Cundinamarca|3.2383834838181813|182.10224985454545
departamento_hecho_Cauca|3.159448570222222|167.0740995444445
departamento_hecho_NariÃ±o|3.0254653679090917|182.1025879818182
departamento_hecho_Tolima|2.9038566353333324|166.27523041666666
departamento_hecho_Norte De Santander|2.552232305|142.73457976666666
departamento_hecho_Sin Especificar|2.3972857618181815|185.81617015454546
departamento_hecho_Huila|2.092047557375|137.82580287500002
departamento_hecho_BoyacÃ¡|2.0271390342857143|107.23969050000001
departamento_hecho_BolÃ­var|1.684103324|87.15132524999999
departamento_hecho_Valle Del Cauca|1.4641672674999997|78.00894794999999
departamento_hecho_ChocÃ³|1.1235676415|66.5866269
departamento_hecho_Casanare|0.782456398|61.4485474
departamento_hecho_Sucre|0.675551295|52.7891045
departamento_hecho_Caldas|0.613047838|48.4846115
anio_fin|0.573391558|23.2605029375
