Tipo|columna|variable|C_0|C_1|C_2|C_3|C_4|C_5|C_6
141|lugar_zona|Urbana|0.0|77.84|0.0|0.0|22.16|0.0|0.0
141|lugar_zona|Rural|21.03|0.0|77.35|1.03|0.0|0.15|0.44
141|hechos_continuan|0|17.02|15.48|62.62|0.0|4.4|0.12|0.36
141|hechos_continuan|1|0.0|0.0|0.0|100.0|0.0|0.0|0.0
141|responsables_identificados|-9999_a_0|0.0|19.61|79.34|0.9|0.0|0.15|0.0
141|responsables_identificados|0_a_1|79.01|0.0|0.0|0.55|20.44|0.0|0.0
141|responsables_identificados|1_a_2|0.0|0.0|0.0|0.0|0.0|0.0|100.0
141|responsables_identificados|2_a_3|0.0|0.0|0.0|0.0|0.0|0.0|100.0
141|tc_tc_politico|0|16.88|15.35|62.1|0.83|4.37|0.12|0.35
141|amenaza_carta|0|16.9|15.37|62.17|0.83|4.37|0.0|0.35
141|amenaza_carta|1|0.0|0.0|0.0|0.0|0.0|100.0|0.0
141|v_vs_cambios_forzados_embarazo|Sin Especificar|16.88|15.35|62.1|0.83|4.37|0.12|0.35
141|v_vs_cambios_forzados_embarazo_nacimiento|Sin Especificar|16.88|15.35|62.1|0.83|4.37|0.12|0.35
141|v_vs_cambios_forzados_ind_col|Sin Especificar|16.88|15.35|62.1|0.83|4.37|0.12|0.35
141|v_vs_cambios_forzados_multiple_responsable|Sin Especificar|16.88|15.35|62.1|0.83|4.37|0.12|0.35
141|v_vs_cambios_forzados_publico|Sin Especificar|16.88|15.35|62.1|0.83|4.37|0.12|0.35
141|cluster|0_a_1|0.0|100.0|0.0|0.0|0.0|0.0|0.0
141|cluster|1_a_2|0.0|0.0|100.0|0.0|0.0|0.0|0.0
141|cluster|2_a_3|0.0|0.0|0.0|100.0|0.0|0.0|0.0
141|cluster|-9999_a_0|100.0|0.0|0.0|0.0|0.0|0.0|0.0
141|cluster|3_a_4|0.0|0.0|0.0|0.0|100.0|0.0|0.0
141|cluster|4_a_5|0.0|0.0|0.0|0.0|0.0|100.0|0.0
141|cluster|5_a_6|0.0|0.0|0.0|0.0|0.0|0.0|100.0
